,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
112079,Paid Contribution,08/06/2015,08/06/2015,1796896,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,15/02/2016,14/08/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112080,Paid Contribution,08/06/2015,08/06/2015,38116,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Health,Yes,15/02/2016,14/08/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112081,Paid Contribution,08/06/2015,08/06/2015,476450,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,14/04/2016,14/08/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112082,Paid Contribution,01/06/2015,01/06/2015,1197931,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,15/02/2016,14/08/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112138,Paid Contribution,17/08/2015,17/08/2015,1506024,"United Kingdom, Government of",Government: National government,United Kingdom,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,Coordination and Security,Coordination and support services,Yes,21/12/2015,18/08/2015,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
112155,Paid Contribution,18/08/2015,18/08/2015,4000000,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,04/01/2018,18/08/2015,,2015,financial,Standard,,,,
112182,Paid Contribution,24/07/2015,24/07/2015,,"Qatar, Government of",Government: National government,Qatar,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,,Yes,19/08/2015,19/08/2015,,2015,in kind,Standard,"Qatar, Government of",,,
112216,Paid Contribution,02/08/2015,02/08/2015,4033900,"Qatar, Government of",Government: National government,Qatar,2015,,,Qatar Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,20/08/2015,20/08/2015,,2015,financial,Standard,Qatar Red Crescent Society,,,
112329,Paid Contribution,19/08/2015,19/08/2015,4687500,"United Kingdom, Government of",Government: National government,United Kingdom,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,29/09/2015,25/08/2015,softly earmarked,2015,financial,Standard,,,,
112388,Paid Contribution,27/08/2015,27/08/2015,,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2015,,,,2015,,Yemen,,Emergency Shelter and NFI,Yes,28/08/2015,28/08/2015,,2015,in kind,Standard,,,,
112416,Paid Contribution,15/07/2015,15/07/2015,,"Russian Federation, Government of",Government: National government,Russian Federation,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,31/08/2015,31/08/2015,,2015,in kind,Standard,,,,
112417,Paid Contribution,11/05/2015,11/05/2015,,"Iran, Government of",Government: National government,"Iran, Islamic Republic of",2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,,Yes,31/08/2015,31/08/2015,,2015,in kind,Standard,,,,
112418,Paid Contribution,07/06/2015,07/06/2015,,"Iran, Government of",Government: National government,"Iran, Islamic Republic of",2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,31/08/2015,31/08/2015,,2015,in kind,Standard,,,,
112422,Paid Contribution,24/05/2015,24/05/2015,1774362,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,16/09/2015,31/08/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112460,Paid Contribution,28/10/2015,28/10/2015,11223345,"Netherlands, Government of",Government: National government,Netherlands,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,06/06/2016,01/09/2015,softly earmarked,2015,financial,Standard,"Netherlands, Government of",,,
112470,Paid Contribution,19/08/2015,19/08/2015,6348093,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,,2015,,Yemen,Health,Health,Yes,16/09/2015,01/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112471,Paid Contribution,23/06/2015,23/06/2015,15849070,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,World Health Organization,2015,UN agency,Yemen,Health,Health,Yes,16/09/2015,01/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112541,Paid Contribution,23/06/2015,23/06/2015,10261733,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,16/09/2015,02/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112542,Paid Contribution,23/06/2015,23/06/2015,7351692,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,02/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112543,Paid Contribution,23/06/2015,23/06/2015,2052347,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,Protection,Protection,Yes,16/09/2015,02/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112655,Paid Contribution,20/10/2015,20/10/2015,1000000,"United States of America, Government of",Government: National government,United States,2015,,,Office for the Coordination of Humanitarian Affairs,2015,UN agency,Yemen,Coordination and Security,Coordination and support services,Yes,19/04/2016,04/09/2015,,2015,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
112657,Paid Contribution,08/06/2015,08/06/2015,280685,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,,2015,,Yemen,,Food Security,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112658,Paid Contribution,08/06/2015,08/06/2015,583617,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,,2015,,Yemen,,Food Security,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112659,Paid Contribution,08/06/2015,08/06/2015,7024231,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,,2015,,Yemen,,Food Security,Yes,05/01/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112660,Paid Contribution,08/06/2015,08/06/2015,460520,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,,2015,,Yemen,,Food Security,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112661,Paid Contribution,08/06/2015,08/06/2015,9871,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,14/04/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112662,Paid Contribution,08/06/2015,08/06/2015,274173,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112663,Paid Contribution,01/07/2015,01/07/2015,221205,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112664,Paid Contribution,01/07/2015,01/07/2015,1715682,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112665,Paid Contribution,23/06/2015,23/06/2015,149438,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,14/04/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112666,Paid Contribution,23/06/2015,23/06/2015,579526,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,04/09/2015,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112667,Paid Contribution,14/06/2015,14/06/2015,101899,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,15/02/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112668,Paid Contribution,14/06/2015,14/06/2015,395167,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,Red Crescent Society of the United Arab Emirates,2015,Red Cross/Red Crescent: National Society,Yemen,,,Yes,14/04/2016,04/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
112673,Paid Contribution,20/08/2015,20/08/2015,546448,UNICEF National Committee/Netherlands,Private organization/foundation: Local/National organization/foundation/individual,,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,11/11/2015,04/09/2015,,2015,financial,Standard,United Nations Children's Fund,,,
112682,Paid Contribution,07/06/2015,07/06/2015,4422281,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,Islamic Relief Worldwide,2015,NGO: International,Yemen,Food Security,Food Security,Yes,16/09/2015,07/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112743,Paid Contribution,07/09/2015,07/09/2015,695500,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Protection,Protection,Yes,16/09/2015,07/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112744,Paid Contribution,07/09/2015,07/09/2015,14844101,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,16/09/2015,07/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112762,Paid Contribution,28/08/2015,28/08/2015,271739,"Spain, Government of",Government: National government,Spain,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,,Yes,25/11/2015,09/09/2015,,2015,financial,Standard,"Spain, Government of",,,
112793,Paid Contribution,23/06/2015,23/06/2015,1559993,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,World Food Programme,2015,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,11/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112794,Paid Contribution,23/06/2015,23/06/2015,43306563,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,World Food Programme,2015,UN agency,Yemen,Food Security,Food Security,Yes,23/09/2016,11/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112813,Paid Contribution,06/10/2015,10/09/2015,1177024,"Norway, Government of",Government: National government,Norway,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,15/12/2015,11/09/2015,,2015,financial,Standard,"Norway, Government of",,,
112834,Paid Contribution,31/08/2015,31/08/2015,152955,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,World Food Programme,2015,UN agency,Yemen,Logistics,Logistics,Yes,21/11/2017,14/09/2015,,2015,financial,Standard,World Food Programme,,,
112835,Paid Contribution,31/08/2015,31/08/2015,3959451,"Iran, Government of",Government: National government,"Iran, Islamic Republic of",2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,14/09/2015,14/09/2015,,2015,financial,Standard,World Food Programme,,,
112836,Paid Contribution,31/08/2015,31/08/2015,18263,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,14/09/2015,14/09/2015,,2015,financial,Standard,World Food Programme,,,
112837,Paid Contribution,31/08/2015,31/08/2015,5348,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,14/09/2015,14/09/2015,,2015,financial,Standard,World Food Programme,,,
112838,Paid Contribution,21/07/2015,21/07/2015,500000,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,04/01/2018,14/09/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
112843,Paid Contribution,06/09/2015,06/09/2015,,"Sudan, Government of",Government: National government,Sudan,2015,,,Sudanese Red Crescent,2015,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,15/09/2015,15/09/2015,,2015,in kind,Standard,,,,
112847,Paid Contribution,02/06/2015,02/06/2015,942955,"Qatar, Government of",Government: National government,Qatar,2015,,,,2015,,Yemen,,Multi-sector,Yes,16/09/2015,15/09/2015,,2015,financial,Standard,,,,
112848,Paid Contribution,14/07/2015,14/07/2015,258876,"Qatar, Government of",Government: National government,Qatar,2015,,,,2015,,Yemen,,Health,Yes,16/09/2015,15/09/2015,,2015,financial,Standard,,,,
112849,Paid Contribution,26/06/2015,26/06/2015,2601636,"Qatar, Government of",Government: National government,Qatar,2015,,,,2015,,Yemen,,Food Security,Yes,16/09/2015,15/09/2015,,2015,financial,Standard,,,,
112866,Paid Contribution,03/06/2015,03/06/2015,14123995,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112867,Paid Contribution,03/06/2015,03/06/2015,870324,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Emergency Shelter and NFI,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112868,Paid Contribution,05/07/2015,05/07/2015,1774362,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112869,Paid Contribution,05/07/2015,05/07/2015,2796608,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Coordination and support services,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112870,Paid Contribution,07/07/2015,07/07/2015,1568167,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Water Sanitation Hygiene,Yes,17/12/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112871,Paid Contribution,18/07/2015,18/07/2015,494715,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Health,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112872,Paid Contribution,18/07/2015,18/07/2015,2853,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Health,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112873,Paid Contribution,27/07/2015,27/07/2015,513490,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,,2015,,Yemen,,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112874,Paid Contribution,18/06/2015,18/06/2015,5363407,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112875,Paid Contribution,28/08/2015,28/08/2015,4394250,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,Islamic Relief Worldwide,2015,NGO: International,Yemen,Food Security,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112876,Paid Contribution,11/08/2015,11/08/2015,1052890,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,Reform Society,2015,NGO: Uncategorized NGO,Yemen,,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112877,Paid Contribution,24/05/2015,24/05/2015,475092,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,Islamic Relief Worldwide,2015,NGO: International,Yemen,Food Security,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112878,Paid Contribution,06/08/2015,06/08/2015,,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,17/12/2015,16/09/2015,,2015,in kind,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112879,Paid Contribution,17/06/2015,17/06/2015,3395556,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,17/12/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112880,Paid Contribution,22/06/2015,22/06/2015,256806,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,,2015,,Yemen,,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112881,Paid Contribution,21/07/2015,21/07/2015,4337182,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Food Security,Yes,17/12/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112882,Paid Contribution,21/07/2015,21/07/2015,3994028,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,,2015,,Yemen,,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112883,Paid Contribution,22/07/2015,22/07/2015,4421959,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,World Assembly of Muslim Youth,2015,Private organization/foundation: International organization/foundation/individual,Yemen,,Food Security,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112886,Paid Contribution,22/05/2015,22/05/2015,19968,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,,2015,,Yemen,,Health,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112888,Paid Contribution,07/07/2015,07/07/2015,4708136,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Health,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112889,Paid Contribution,23/07/2015,23/07/2015,484963,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,"Yemen, Government of",2015,Government: National government,Yemen,,Health,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112891,Paid Contribution,07/09/2015,07/09/2015,1096315,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,Yemen Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,16/09/2015,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112892,Paid Contribution,07/09/2015,07/09/2015,1126088,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2015,,,,2015,,Yemen,,Logistics,Yes,21/11/2017,16/09/2015,,2015,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
112924,Paid Contribution,07/05/2015,07/05/2015,1223363,"United States of America, Government of",Government: National government,United States,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,Health,Health,Yes,18/09/2015,18/09/2015,,2015,financial,Standard,"United States of America, Government of",,,
112925,Paid Contribution,07/05/2015,07/05/2015,1468733,"United States of America, Government of",Government: National government,United States,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,18/09/2015,18/09/2015,,2015,financial,Standard,"United States of America, Government of",,,
112926,Paid Contribution,07/05/2015,07/05/2015,969365,"United States of America, Government of",Government: National government,United States,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,Child Protection,Child Protection,Yes,21/11/2017,18/09/2015,,2015,financial,Standard,United Nations Children's Fund,,,
112930,Paid Contribution,16/09/2015,16/09/2015,698770,"Kuwait, Government of",Government: National government,Kuwait,2015,,,,2015,,Yemen,,Health,Yes,12/10/2015,18/09/2015,,2015,in kind,Standard,,,,
112931,Paid Contribution,16/09/2015,16/09/2015,2714285,"Qatar, Government of",Government: National government,Qatar,2015,,,,2015,,Yemen,,,Yes,21/09/2015,18/09/2015,,2015,in kind,Standard,,,,
112932,Paid Contribution,16/09/2015,16/09/2015,4000000,"Qatar, Government of",Government: National government,Qatar,2015,,,,2015,,Yemen,,,Yes,21/09/2015,18/09/2015,,2015,in kind,Standard,,,,
112933,Paid Contribution,16/09/2015,16/09/2015,37137802,"Qatar, Government of",Government: National government,Qatar,2015,,,,2015,,Yemen,,,Yes,21/09/2015,18/09/2015,,2015,in kind,Standard,,,,
112946,Paid Contribution,16/09/2015,16/09/2015,9006600,"United States of America, Government of",Government: National government,United States,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,,,Yes,06/11/2015,21/09/2015,,2015,financial,Standard,"United States of America, Government of",,,
112949,Paid Contribution,04/09/2015,04/09/2015,19427838,"United States of America, Government of",Government: National government,United States,2015,,,World Food Programme,2015,UN agency,Yemen,Food Security,Food Security,Yes,23/09/2016,21/09/2015,,2015,financial,Standard,World Food Programme,,,
112951,Paid Contribution,16/09/2015,16/09/2015,1661579,"United States of America, Government of",Government: National government,United States,2015,,,United Nations Children's Fund,2015,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,21/09/2015,,2015,financial,Standard,"United States of America, Government of",,,
112952,Paid Contribution,07/05/2015,07/05/2015,22400000,"United States of America, Government of",Government: National government,United States,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,,Yes,21/09/2015,21/09/2015,,2015,financial,Standard,"United States of America, Government of",,,
112953,Paid Contribution,18/09/2015,18/09/2015,6000000,"United States of America, Government of",Government: National government,United States,2015,,,International Organization for Migration,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,Multi-sector,Yes,19/10/2015,21/09/2015,,2015,financial,Standard,"United States of America, Government of",,,
112954,Paid Contribution,17/09/2015,17/09/2015,1000000,"Belgium, Government of",Government: National government,Belgium,2015,,,Food & Agriculture Organization of the United Nations,2015,UN agency,Yemen,Food Security,Agriculture,Yes,21/11/2017,21/09/2015,,2015,financial,Standard,Food & Agriculture Organization of the United Nations,,,
112972,Paid Contribution,02/06/2015,02/06/2015,106180,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2015,,,,2015,,Yemen,,,Yes,15/02/2016,21/09/2015,,2015,in kind,Standard,"United Arab Emirates, Government of",,,
113025,Paid Contribution,11/09/2015,11/09/2015,500000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2015,,,World Food Programme,2015,UN agency,Yemen,,,Yes,23/09/2016,22/09/2015,,2015,financial,Standard,"Korea, Republic of, Government of",,,
113046,Paid Contribution,01/05/2015,01/05/2015,300000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2015,,,,2015,,Yemen,,,Yes,24/09/2015,24/09/2015,,2015,financial,Standard,,,,
113084,Paid Contribution,31/05/2015,31/05/2015,50515,"Norway, Government of",Government: National government,Norway,2015,,,Norwegian Refugee Council,2015,NGO: International,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,25/09/2015,25/09/2015,,2015,financial,Standard,"Norway, Government of",,,
113132,Paid Contribution,01/09/2015,01/09/2015,3384615,"United Kingdom, Government of",Government: National government,United Kingdom,2015,,,United Nations High Commissioner for Refugees,2015,UN agency,Yemen,Protection,Protection,Yes,17/12/2015,29/09/2015,,2015,financial,Standard,United Nations High Commissioner for Refugees,,,
113134,Paid Contribution,01/09/2015,01/09/2015,5863386,"United Kingdom, Government of",Government: National government,United Kingdom,2015,,,International Organization for Migration,2015,UN agency,Yemen,Response Plan for Refugees and Migrants,Multi-sector,Yes,09/12/2015,29/09/2015,,2015,financial,Standard,"United Kingdom, Government of",,,
113165,Paid Contribution,28/09/2015,28/09/2015,1506932,"Denmark, Government of",Government: National government,Denmark,2015,,,Yemen Humanitarian Fund,2015,Pooled fund: Country-based,Yemen,,,Yes,20/10/2015,30/09/2015,softly earmarked,2015,financial,Standard,"Denmark, Government of",,,
113352,Paid Contribution,16/09/2015,16/09/2015,377063,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Emergency Shelter and NFI,Yes,04/01/2018,12/10/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
113353,Paid Contribution,16/09/2015,16/09/2015,625413,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Water Sanitation Hygiene,Yes,04/01/2018,12/10/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
113354,Paid Contribution,19/05/2015,19/05/2015,346122,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Health,Yes,04/01/2018,12/10/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
113355,Paid Contribution,16/09/2015,16/09/2015,962467,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,04/01/2018,12/10/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
113356,Paid Contribution,16/09/2015,16/09/2015,611138,"Kuwait, Government of",Government: National government,Kuwait,2015,,,Kuwait Red Crescent Society,2015,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,04/01/2018,12/10/2015,,2015,financial,Standard,Kuwait Red Crescent Society,,,
