,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
113693,134838,Paid Contribution,01/09/2015,01/09/2015,4539319,16672919,"in kind - Sending ship with 3740 ton of food items . Consisting of rice, flour, lentil, tuna and other food stuff (YEM-2015-056)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2015-056,Traditional aid,05/01/2016,27/10/2015,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
113698,134843,Paid Contribution,01/09/2015,01/09/2015,14958522,54942653,Food Aid. (YEM-2015-058),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Food Security,,,Yes,YEM-2015-058,Traditional aid,15/02/2016,27/10/2015,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
113736,134887,Paid Contribution,26/10/2015,26/10/2015,136129,500000,in support of We Care' campaign to raise funds to help 10 million people affected by the crisis in Yemen. (from The Human Appeal International),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,,,,Yes,,Traditional aid,28/10/2015,28/10/2015,1,,2015,financial,3.673,Emirati Dirham,,Standard,,,,
113743,134898,Paid Contribution,29/10/2015,29/10/2015,239123,,Health,"Denmark, Government of",Government: National government,,Denmark,,2015,,,,United Nations Population Fund,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/H/79078/R/1171,Health,Health,,,Yes,,Traditional aid,29/10/2015,29/10/2015,1,,2015,financial,,US Dollar,,Standard,United Nations Population Fund,,,
113744,134899,Paid Contribution,29/10/2015,29/10/2015,602337,,Health,"Japan, Government of",Government: National government,,Japan,,2015,,,,United Nations Population Fund,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/H/79078/R/1171,Health,Health,,,Yes,,Traditional aid,29/10/2015,29/10/2015,1,,2015,financial,,US Dollar,,Standard,United Nations Population Fund,,,
113745,134900,Paid Contribution,29/10/2015,29/10/2015,3557604,,Health,"Germany, Government of",Government: National government,,Germany,,2015,,,,United Nations Population Fund,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/H/79078/R/1171,Health,Health,,,Yes,,Traditional aid,29/10/2015,29/10/2015,1,,2015,financial,,US Dollar,,Standard,United Nations Population Fund,,,
113746,134901,Paid Contribution,29/10/2015,29/10/2015,3180401,,Health,"Netherlands, Government of",Government: National government,,Netherlands,,2015,,,,United Nations Population Fund,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/H/79078/R/1171,Health,Health,,,Yes,,Traditional aid,29/10/2015,29/10/2015,1,,2015,financial,,US Dollar,,Standard,United Nations Population Fund,,,
113761,134926,Paid Contribution,20/10/2015,20/10/2015,2655539,3500000,Provision of food assistance EMOPS 200890 (D002986),"Canada, Government of",Government: National government,,Canada,,2015,,,,World Food Programme,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,D002986,Traditional aid,22/09/2016,30/10/2015,1,,2015,financial,1.318,Canadian Dollar,,Standard,"Canada, Government of",,,
113767,134932,Paid Contribution,30/03/2015,20/10/2015,1896813,2500000,to be allocated to specific projects (D002987),"Canada, Government of",Government: National government,,Canada,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,D002987,Traditional aid,09/12/2015,30/10/2015,1,,2015,financial,1.318,Canadian Dollar,,Standard,"Canada, Government of",,,
113826,134998,Paid Contribution,12/10/2015,12/10/2015,2805836,2500000,Aid to victims of conflict in Yemen,"Finland, Government of",Government: National government,,Finland,,2015,,,,World Food Programme,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,[EDRIS:73467],Traditional aid,23/09/2016,02/11/2015,1,,2015,financial,0.891,European Euro,,Standard,World Food Programme,,,
113870,135044,Paid Contribution,01/12/2015,01/12/2015,1986445,17000000,Emergency Response Fund for Yemen - (OCT 5027),"Sweden, Government of",Government: National government,,Sweden,,2015,,,,Yemen Humanitarian Fund,,2015,,Yemen 2015,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5027,Traditional aid,26/05/2016,03/11/2015,1,softly earmarked,2015,financial,8.558002,Swedish Krona,,Standard,,,,
113909,135084,Paid Contribution,22/09/2015,22/09/2015,5333333,,Provided Relief assistance to affected governorates in Yemen  (from the King Salman Humanitarian Aid and Relief Center),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,,,,Yes,,Traditional aid,04/11/2015,04/11/2015,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113910,135085,Paid Contribution,22/09/2015,22/09/2015,5333333,,Support the recovery phase to Yemeni government humanitarian efforts in Yemen (from the King Salman Humanitarian Aid and Relief Center),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Early Recovery,,,Yes,,Traditional aid,04/11/2015,04/11/2015,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113911,135086,Paid Contribution,22/09/2015,22/09/2015,2666667,,Provided support to Yemenis government efforts to coordinate  the humanitarian Assistance in Yemen (from the King Salman Humanitarian Aid and Relief Center),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Coordination and support services,,,Yes,,Traditional aid,04/11/2015,04/11/2015,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113912,135087,Paid Contribution,28/09/2015,28/09/2015,8686400,,Provide 4500 tonnes of medical supplies and Food and  an electric generator (from the King Salman Humanitarian Aid and Relief Center),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,International Islamic Relief Organization,,2015,,,NGO: International,,Yemen,,,,,,Yes,,Traditional aid,04/11/2015,04/11/2015,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113913,135088,Paid Contribution,25/08/2015,25/08/2015,484649,,"Provided food supply (Dates and Oats) in Marib, Shabwa, Hadramout (from the King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,Yemeni Social Reform Society,,2015,,,NGO: Local,,Yemen,,,Food Security,,,Yes,,Traditional aid,04/11/2015,04/11/2015,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
113954,135133,Paid Contribution,28/09/2015,28/09/2015,1506932,10000000,Danish contribution to WFP's efforts in relation to the crisis in Yemen (2015-44106),"Denmark, Government of",Government: National government,,Denmark,,2015,,,,World Food Programme,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,"2015-44106, [EDRIS:73518]",Traditional aid,23/09/2016,05/11/2015,1,,2015,financial,6.636,Danish Krone,,Standard,"Denmark, Government of",,,
113960,135141,Paid Contribution,04/11/2015,04/11/2015,4587156,3000000,Yemen - ERF (OCT 5031),"United Kingdom, Government of",Government: National government,,United Kingdom,,2015,,,,Yemen Humanitarian Fund,,2015,,Yemen 2015,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5031,Traditional aid,27/11/2015,06/11/2015,1,softly earmarked,2015,financial,0.654,Pound Sterling,,Standard,,,,
113988,135169,Paid Contribution,05/11/2015,05/11/2015,,,"in kind -  Il-76 carrying about 23 tonnes of relief goods - large tents and foods. On its way back the plane will deliver in Moscow Russian and foreign citizens who want to leave the conflict zone large tents and foods,23 tonnes  ","Russian Federation, Government of",Government: National government,,Russian Federation,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,,,,Yes,,Traditional aid,09/11/2015,09/11/2015,1,,2015,in kind,,US Dollar,,Standard,"Russian Federation, Government of",,,
113989,135170,Paid Contribution,05/11/2015,05/11/2015,,,"in kind -  60 tonnes of emergency relief to Yemenis on the cyclone-struck Socotra Island affected by cyclone Chapala (33 tonnes of blankets and tents and 27 tonnes of food supplies and other relief items (through theThe Khalifa bin Zayed Al Nahyan Foundation) , (YEM-2015-037)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,,,2015,,,,,Yemen,,,,,,Yes,YEM-2015-037,Traditional aid,15/02/2016,09/11/2015,1,,2015,in kind,,US Dollar,,Standard,"United Arab Emirates, Government of",,,
114082,135268,Paid Contribution,10/11/2015,10/11/2015,1239157,1000000,Health related activities,"Finland, Government of",Government: National government,,Finland,,2015,,,,World Health Organization,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/H/78646/R/122,Health,Health,,,Yes,,Traditional aid,10/11/2015,10/11/2015,1,,2015,financial,0.807,European Euro,,Standard,World Health Organization,,,
114102,135298,Paid Contribution,25/09/2015,25/09/2015,1078,,to be allocated to specific projects (through International On-line donations),Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,,Traditional aid,11/11/2015,11/11/2015,1,,2015,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
114103,135299,Paid Contribution,30/09/2015,30/09/2015,9918,13290,to be allocated to specific projects,UNICEF National Committee/Canada,Private organization/foundation: Local/National organization/foundation/individual,,,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,,Traditional aid,11/11/2015,11/11/2015,1,,2015,financial,1.339988,Canadian Dollar,,Standard,United Nations Children's Fund,,,
114268,135620,Paid Contribution,12/11/2015,12/11/2015,5000000,,shipment of medicines arrived at Aden Airport and will be distributed to hospitals and medical centers in the southern governorates across the country.,"Kuwait, Government of",Government: National government,,Kuwait,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Health,152927,,Yes,,Traditional aid,04/01/2018,17/11/2015,1,,2015,financial,,US Dollar,,Standard,"Kuwait, Government of",,,
114270,135622,Paid Contribution,15/11/2015,15/11/2015,,,"in kind - two aircraft loaded with new batch of aid to help alleviate suffering of the Yemeni people, includes relief materials, medical supplies, medicines and food; this brings Qatar's total relief aid to Yemen up to 356 tons of aid sent through 11 flights","Qatar, Government of",Government: National government,,Qatar,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,,,,Yes,,Traditional aid,17/11/2015,17/11/2015,1,,2015,in kind,,US Dollar,,Standard,,,,
114275,135627,Paid Contribution,17/11/2015,17/11/2015,575027,,"15 trucks carrying 128 MT of food parcels, tents and blankets went to Yemen through Al-Wadiya border crossing over land in response to Cyclone and distributed to affected communities in Hadramout, Shabwa and Al-Mahra. Al-Islah association did the distribution to 6,709 HH.(from the King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,,,,Yes,,Traditional aid,09/12/2015,17/11/2015,1,,2015,in kind,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114276,135628,Paid Contribution,17/11/2015,17/11/2015,32800,,"10,000 food parcels were purchased locally at the request of GOY and distributed in Socotra, covering 1,000 HH. (from the King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Food Security,,,Yes,,Traditional aid,09/12/2015,17/11/2015,1,,2015,in kind,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114277,135629,Paid Contribution,17/11/2015,17/11/2015,105568,,"5 planes carrying a total of 50 MT relief supplies (tents, dry food parcels and blankets) were sent to Socotra Island. They cover 6,000 HH.  (from the King Salman Humanitarian Aid and Relief Center)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,"Yemen, Government of",,2015,,,Government: National government,,Yemen,,,Food Security,,,Yes,,Traditional aid,09/12/2015,17/11/2015,1,,2015,in kind,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114430,135959,Paid Contribution,29/10/2015,29/10/2015,1519047,13000000,to be allocated to specific projects,"Sweden, Government of",Government: National government,,Sweden,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,[EDRIS:70723],Traditional aid,09/12/2015,23/11/2015,1,,2015,financial,8.557997,Swedish Krona,,Standard,"Sweden, Government of",,,
114444,135986,Paid Contribution,15/06/2015,15/06/2015,891606,7000000,QZA-13/0122-18/NRC-MFA GPA,"Norway, Government of",Government: National government,,Norway,,2015,,,,Norwegian Refugee Council,,2015,,Yemen 2015,NGO: International,,Yemen,YEM-15/S-NF/81316/R/5834,Shelter/NFI/CCCM,Emergency Shelter and NFI,,,Yes,QZA-13/0122-18,Traditional aid,24/11/2015,24/11/2015,1,,2015,financial,7.851,Norwegian Krone,,Standard,"Norway, Government of",,,
114475,136018,Paid Contribution,24/11/2015,24/11/2015,337458,,"Refugees, IDP assistance",Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2015,,,,United Nations High Commissioner for Refugees,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/MS/79112/R/120,Response Plan for Refugees and Migrants,,,,Yes,,Traditional aid,25/11/2015,25/11/2015,1,,2015,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
114476,136019,Paid Contribution,24/11/2015,24/11/2015,588512,5000000,"QZA-15/0286-5/Refugees, IDP assistance","Norway, Government of",Government: National government,,Norway,,2015,,,,United Nations High Commissioner for Refugees,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/MS/79112/R/120,Response Plan for Refugees and Migrants,,,,Yes,QZA-15/0286-5,Traditional aid,12/02/2016,25/11/2015,1,,2015,financial,8.496003,Norwegian Krone,,Standard,United Nations High Commissioner for Refugees,,,
114477,136021,Paid Contribution,07/09/2015,07/09/2015,5110056,,Emergency Shelter and NFI (through King Salman Humanitarian Aid and Relief Center),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,United Nations High Commissioner for Refugees,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/S-NF/80759/R/120,Shelter/NFI/CCCM,Emergency Shelter and NFI,152931,,Yes,,Traditional aid,25/11/2015,25/11/2015,1,,2015,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
114554,136118,Paid Contribution,08/10/2015,08/10/2015,11249,10000,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen (EMOP 200890),"Lithuania, Government of",Government: National government,,Lithuania,,2015,,,,World Food Programme,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,[EDRIS:73624],Traditional aid,24/06/2016,27/11/2015,1,,2015,financial,0.888968,European Euro,,Standard,World Food Programme,,,
114681,136248,Paid Contribution,01/12/2015,01/12/2015,970874,1000000,Yemen - ERF. (OCT 5053),"Switzerland, Government of",Government: National government,,Switzerland,,2015,,,,Yemen Humanitarian Fund,,2015,,Yemen 2015,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5053; 7F-07382.06,Traditional aid,21/12/2015,02/12/2015,1,softly earmarked,2015,financial,1.03,Swiss Franc,,Standard,"Switzerland, Government of",,,
114712,136283,Paid Contribution,02/12/2015,02/12/2015,7831325,5200000,Humanitarian assistance in Yemen through a pooled Emergency Response Fund (203814-101) Yemen - ERF. (OCT 5058),"United Kingdom, Government of",Government: National government,,United Kingdom,,2015,,,,Yemen Humanitarian Fund,,2015,,Yemen 2015,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5058,Traditional aid,28/11/2016,03/12/2015,1,softly earmarked,2015,financial,0.664,Pound Sterling,,Standard,,,,
114740,136339,Paid Contribution,11/09/2015,11/09/2015,28156,234148,QZA-13/0122-18/  Food security,"Norway, Government of",Government: National government,,Norway,,2015,,,,Norwegian Refugee Council,,2015,,Yemen 2015,NGO: International,,Yemen,YEM-15/F/78621/R/5834,Food Security,Food Security,,,Yes,QZA-13/0122-18,Traditional aid,04/12/2015,04/12/2015,1,,2015,financial,8.316,Norwegian Krone,,Standard,"Norway, Government of",,,
114833,136473,Paid Contribution,04/12/2015,04/12/2015,6349206,6000000,"Education inEmergency Response
It concerns a forecastle to School campaign and their support. The education ministry among other things is supported by distribution of school books for the classes from the 4 to the 6. The development of Self-Learning to programmes occur in areas, the limited access to education have, small repair and cleaning of schools, WASH, establishment of Temporary Learning spa C flat in areas with difficult access to schools as well as distribution of schoolbags with school books and base-learning accessories for the school children.  (2015.1843.0)","Germany, Government of",Government: National government,,Germany,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,YEM-15/E/81085/R/124,Education,Education,,,Yes,"2015.1843.0, [EDRIS:74138], SM150553",Traditional aid,13/01/2016,14/12/2015,1,,2015,financial,0.945,European Euro,,Standard,United Nations Children's Fund,,,
114847,136490,Paid Contribution,09/12/2015,09/12/2015,529101,500000,Yemen - ERF. (OCT 5066),"Ireland, Government of",Government: National government,,Ireland,,2015,,,,Yemen Humanitarian Fund,,2015,,Yemen 2015,Pooled fund: Country-based,,Yemen,,,,,,Yes,"OCT 5066; UN OCHA 15 07, [EDRIS:74268]",Traditional aid,11/01/2016,14/12/2015,1,softly earmarked,2015,financial,0.944999,European Euro,,Standard,,,,
115056,136744,Paid Contribution,01/11/2015,01/11/2015,66649,,to be allocated to specific projects (through UNICEF/Saudi Arabia),Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,,Traditional aid,18/12/2015,18/12/2015,1,,2015,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
115101,136814,Paid Contribution,14/12/2015,14/12/2015,15873016,15000000,Food security,"Germany, Government of",Government: National government,,Germany,,2015,,,,World Food Programme,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,,Traditional aid,22/12/2015,22/12/2015,1,,2015,financial,0.945,European Euro,,Standard,World Food Programme,,,
115155,136888,Paid Contribution,24/12/2015,24/12/2015,4753169,,to be allocated to specific projects,"Japan, Government of",Government: National government,,Japan,,2015,,,,World Food Programme,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,,Traditional aid,23/09/2016,24/12/2015,1,,2015,financial,,US Dollar,,Standard,"Japan, Government of",,,
115285,137092,Paid Contribution,21/12/2015,21/12/2015,24175824,22000000,Yemen: Integrated life saving and early recovery interventions,"Germany, Government of",Government: National government,,Germany,,2015,,,,United Nations Children's Fund,,2015,,Yemen 2015,UN agency,,Yemen,,,,,,Yes,SM150601/ BMZ-2015-68-971,Traditional aid,14/01/2016,14/01/2016,1,,2015,financial,0.91,European Euro,,Standard,United Nations Children's Fund,,,
115468,137503,Paid Contribution,01/09/2015,01/09/2015,160000,582000,"in kind - completed the winterization project in the coldest parts of the country, under the Warm Winter Program for the year 2015-2016 - over three months to distribute 5,100 blankets and 2,550 bags of children's clothes to as many as 2,550 families (17,850 people).","Qatar, Government of",Government: National government,,Qatar,,2015,,,,Qatar Red Crescent Society,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Emergency Shelter and NFI,,,Yes,,Traditional aid,02/02/2016,02/02/2016,1,,2015,in kind,3.6375,QAR,,Standard,,,,
115501,137578,Paid Contribution,01/01/2015,01/01/2015,1756411,6451297,"Supply of medical equipment and devices, and general maintenance of hospitals for Yemen (YEM-2015-086)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2015-086,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115502,137579,Paid Contribution,01/01/2015,01/01/2015,28706,105438,"Scanning and cleaning of roads and, cleanup and waste management projects for Yemen (YEM-2015-085)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,152933,,Yes,YEM-2015-085,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115503,137580,Paid Contribution,01/01/2015,01/01/2015,94990,348898,Distribution of food aid (Sheep) for Yemen (YEM-2015-084),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,152933,,Yes,YEM-2015-084,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115504,137581,Paid Contribution,01/01/2015,01/01/2015,88712,325841,Maintenance and supply of electricity generators and operating cost for Yemen (YEM-2015-083),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,152933,,Yes,YEM-2015-083,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115505,137582,Paid Contribution,01/01/2015,01/01/2015,864047,3173646,Rehabilitation and maintenance of police station 11 + Center for the Coast Guard + control and inspection buildings for Yemen (YEM-2015-082),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Protection,152933,,Yes,YEM-2015-082,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115506,137583,Paid Contribution,01/01/2015,01/01/2015,266017,977081,Rehabilitation of School + providing school bags for Yemen (YEM-2015-081),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,152933,,Yes,YEM-2015-081,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115507,137584,Paid Contribution,01/01/2015,01/01/2015,243387,893961,"Provision of material relief and non-food items (blankets , tents, and children's clothes) for Yemen (YEM-2015-080)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Emergency Shelter and NFI,152933,,Yes,YEM-2015-080,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115508,137585,Paid Contribution,01/01/2015,01/01/2015,153292,563043,"Small-scale projects for the maintenance of drinking water wells, water supply systems, and water storage tanks for Yemen (YEM-2015-079)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Water Sanitation Hygiene,152933,,Yes,YEM-2015-079,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115509,137586,Paid Contribution,01/01/2015,01/01/2015,223227,819912,Maintenance and insurance of the associations for autistic children for Yemen (YEM-2015-078),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,152933,,Yes,YEM-2015-078,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115510,137587,Paid Contribution,01/01/2015,01/01/2015,22176,81453,"Maintenance and insurance Student houses  in Shabwa ,Yemen (YEM-2015-077)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,152933,,Yes,YEM-2015-077,Traditional aid,14/04/2016,04/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115525,137605,Paid Contribution,01/09/2015,01/09/2015,4084,15000,Basma child Festival on Brega Beach (YEM-2015-066),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Emergency Shelter and NFI,152933,,Yes,YEM-2015-066,Traditional aid,14/04/2016,05/02/2016,1,,2015,financial,3.67287,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115526,137606,Paid Contribution,15/08/2015,15/08/2015,17969,66000,Provision of medicines and medical supplies (RCA-2015-015),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,RCA-2015-015,Traditional aid,05/02/2016,05/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115583,137868,Paid Contribution,10/12/2015,10/12/2015,41338824,151837500,"Rehabilitation of Aden Airport, (YEM-2015-076)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Early Recovery,,,Yes,YEM-2015-076,Traditional aid,14/04/2016,12/02/2016,1,,2015,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115584,137869,Paid Contribution,10/12/2015,10/12/2015,22235537,81671128,Providing civilian Vehicles for government (YEM-2015-075),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,152933,,Yes,YEM-2015-075,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
115585,137870,Paid Contribution,29/11/2015,29/11/2015,2066433,7590008,"Rehabilitation of water and sanitation network and wells, (YEM-2015-074)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2015,,,,Red Crescent Society of the United Arab Emirates,,2015,,,Red Cross/Red Crescent: National Society,,Yemen,,,Water Sanitation Hygiene,152933,,Yes,YEM-2015-074,Traditional aid,14/04/2016,12/02/2016,1,,2015,in kind,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
