AgencyName,ChannelName,ChannelNameCode,ChannelReportedName,ChannelReportedNameCode,CodedOrg,CompletionDate,DonorCode,DonorName,FlowName,LongDescription,PurposeCode,RecipientName,SectorName,ShortDescription,USD_Disbursement,Year
Agency for International Development,World Food Programme,64,World Food Programme,64,64,29-Feb-16,302,United States,ODA Grants,USAID/OFDA Grant for Yemen/Complex Emergency,72010,Yemen,VIII.1. Emergency Response,USAID/OFDA GRANT FOR YEMEN/COMPLEX EMERGENCY - ASSISTANCE AND RECOVERY,2000000.0,2016
Agency for International Development,World Food Programme,64,World Food Programme,64,64,31-Dec-15,302,United States,ODA Grants,USAID Title II Emergency Program for Protection Assistance and Solutions through World Food Program.,72040,Yemen,VIII.1. Emergency Response,SECTION 202E COST OF USAID TITLE II EMERGENCY PROGRAM FOR PROTECTION ASSISTANCE AND SOLUTIONS,1567800.0,2015
Department for International Development,World Food Programme,64,World Food Programme,64,64,31-Mar-16,12,United Kingdom,ODA Grants,To provide rapid specialist expertise transportation and equipment for the UN to enable a more effective and better coordinated response to the humanitarian crisis in Yemen in 2015,72050,Yemen,VIII.1. Emergency Response,SUPPORT TO UN HUMANITARIAN SERVICE (UNHAS),1527880.0,2015
Ministry of Foreign Affairs,World Food Programme,64,World Food Programme,64,64,01-Sep-16,3,Denmark,ODA Grants,WFP efforts in relation to the crisis in Yemen 2015,72010,Yemen,VIII.1. Emergency Response,WFP EFFORTS IN RELATION TO THE CRISIS IN YEMEN 2015-2016,1486900.0,2015
Ministry of Foreign Affairs,World Food Programme,64,World Food Programme,64,64,01-Jan-00,22,Luxembourg,ODA Grants,Y?en,72010,Yemen,VIII.1. Emergency Response,ACCORD DE PARTENARIAT SP?CIAL PAM 2017-2020,931659.0,2017
Department for International Development,World Food Programme,64,World Food Programme,64,64,31-Jul-17,12,United Kingdom,ODA Grants,To provide rapid specialist expertise transportation and equipment for the UN to enable a more effective and better coordinated response to the humanitarian crisis in Yemen in 2015,72050,Yemen,VIII.1. Emergency Response,SUPPORT TO UN HUMANITARIAN SERVICE (UNHAS),643832.0,2017
Agency for International Development,World Food Programme,64,World Food Programme,64,64,31-Dec-13,302,United States,ODA Grants,Provide goods personnel services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality impartiality and human dignity. This element should be done when possible as part of an integrated coordinated and/or multi-sectoral approach.,72010,Yemen,VIII.1. Emergency Response,CRISIS ASSISTANCE AND RECOVERY,483640.0,2014
Ministry of Foreign Affairs,World Food Programme,64,World Food Programme,64,64,29-Dec-17,84,Lithuania,ODA Grants,Contribution to UN World Food Programme for assitance to Yemen,72010,Yemen,VIII.1. Emergency Response,CONTRIBUTION TO UN WORLD FOOD PROGRAMME FOR ASSITANCE TO YEMEN,16909.0,2017
Agency for International Development,World Food Programme,64,World Food Programme,64,64,29-Feb-16,302,United States,ODA Grants,USAID/OFDA Grant for Yemen/Complex Emergency,72010,Yemen,VIII.1. Emergency Response,USAID/OFDA GRANT FOR YEMEN/COMPLEX EMERGENCY - ASSISTANCE AND RECOVERY,0.0,2015
Agency for International Development,World Food Programme,64,World Food Programme,64,64,31-Dec-15,302,United States,ODA Grants,Comprehensive Food Security Survey,72010,Yemen,VIII.1. Emergency Response,OFDA-2014-WFP - ASSISTANCE AND RECOVERY,0.0,2015
Agency for International Development,World Food Programme,64,World Food Programme,64,64,24-Sep-14,302,United States,ODA Grants,Comprehensive Food Security Survey,72010,Yemen,VIII.1. Emergency Response,OFDA-2014-WFP,0.0,2017
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-15,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations.,72040,Yemen,VIII.1. Emergency Response,ALLOCATION (CEREALS) OF SDC FUNDING TO WFP OPERATIONS IN 2015,1558770.0,2015
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-14,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations and underfunded emergencies.,72040,Yemen,VIII.1. Emergency Response,FIRST ALLOCATION (CEREALS) OF SDC FUNDING (EUROPE AND MEDITERRANEAN REGION DIVISION) TO WFP OPERATIONS IN 2014 SYRIA YEMEN,1092900.0,2014
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-14,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations and underfunded emergencies.,72040,Yemen,VIII.1. Emergency Response,WFP MULTI-BI CONTRIBUTIONS ? CASH,546448.0,2014
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-15,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations.,72040,Yemen,VIII.1. Emergency Response,ALLOCATION (CASH) OF SDC FUNDING TO WFP OPERATIONS IN 2015,259794.00000000003,2015
International Humanitarian City,World Food Programme,64,World Food programme (WFP),64,64,#NULL!,576,United Arab Emirates,ODA Grants,Logistics Support,72050,Yemen,VIII.1. Emergency Response,LOGISTICS SUPPORT,153039.0,2015
Foreign Office,World Food Programme,64,World Food Programme (WFP),64,64,31-Dec-18,5,Germany,ODA Grants,Emergency food aid in Yemen,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE - EMERGENCY FOOD AID,63127000.0,2017
Foreign Office,World Food Programme,64,World Food Programme (WFP),64,64,31-Dec-16,5,Germany,ODA Grants,Emergency nutritional assistance for those affected by the conflict in Yemen,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE - EMERGENCY NUTRITIONAL ASSISTANCE,7740790.0,2016
Foreign Office,World Food Programme,64,World Food Programme (WFP),64,64,31-Dec-17,5,Germany,ODA Grants,Provision of Humanitarian Air Services in Yemen,72050,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE - HUMANITARIAN AIR SERVICES,1690900.0,2017
Foreign Office,World Food Programme,64,World Food Programme (WFP),64,64,31-Dec-17,5,Germany,ODA Grants,Logistics support for humanitarian aid transport to hard-to-reach and besieged areas in Yemen,72050,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE - LOGISTICS SUPPORT,1690900.0,2017
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-17,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations and underfunded emergencies.,72040,Yemen,VIII.1. Emergency Response,WORLD FOOD PROGRAMME (WFP) FOOD ASSISTANCE,3046610.0,2017
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-17,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations and underfunded emergencies.,72040,Yemen,VIII.1. Emergency Response,WORLD FOOD PROGRAMME (WFP) FOOD ASSISTANCE,1523310.0,2017
Swiss Agency for Development and Co-operation,World Food Programme,64,,0,64,31-Dec-16,11,Switzerland,ODA Grants,In line with the Good Humanitarian Donorship (GHD) principles Switzerland recognizes the necessity of predictable and flexible funding to respond to changing needs in humanitarian crises. SDC funding to WFP operations allows the World Food Programme (WFP) to respond proactively and to provide immediate food assistance in life-threatening situations and underfunded emergencies.,72040,Yemen,VIII.1. Emergency Response,WORLD FOOD PROGRAMME (WFP) FOOD ASSISTANCE,1421180.0,2016
Australian Government,World Food Programme,64,Multilateral Organisations,0,64,30-Jun-14,801,Australia,ODA Grants,Funding under this initiative provides additional humanitarian funding to the World Food Program (WFP) the International Committee of the Red Cross (ICRC) the United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA) Central Emergency Response Fund (CERF) the United Nations High Commissioner for Refugees (UNHCR) and the International Federation of the Red Cross' Disaster Relief Emergency Fund (DREF). The funds are allocated for high priority humanitarian response and recovery operations and for pooled humanitarian emergency funds that play a catalytic role in responding rapidly to critical humanitarian needs in the Indo-Pacific region and beyond. The funds will be used to assist displaced people with food and nutrition assistance shelter water hygiene kits and protection and a strengthened response to sexual violence. The total value of this initiative is $23.0 million to be expensed in the 2013-14 financial year.,72040,Yemen,VIII.1. Emergency Response,EMERGENCY FOOD ASSISTANCE,1802780.0,2014
Ministry of Foreign Affairs,World Food Programme,64,Programme alimentaire mondial,64,64,#NULL!,22,Luxembourg,ODA Grants,PAM-Accord de Partenariat Strat?ique 2012-2015,73010,Yemen,VIII.2. Reconstruction Relief & Rehabilitation,PAM-ACCORD DE PARTENARIAT STRAT?GIQUE 2012-2015,554631.0,2015
Ministry of Foreign Affairs,World Food Programme,64,Programme alimentaire mondial,64,64,#NULL!,22,Luxembourg,ODA Grants,Yemen,72010,Yemen,VIII.1. Emergency Response,ACCORD DE PARTENARIAT SP?CIAL ENTRE LUXEMBOURG ET LE PAM,552914.0,2016
Ministry of Foreign Affairs,World Food Programme,64,Programme alimentaire mondial,64,64,#NULL!,22,Luxembourg,ODA Grants,0,72010,Yemen,VIII.1. Emergency Response,ACCORD DE PARTENARIAT STRAT?IQUE PAM 2012-2015,331697.0,2014
UNPBF,Food and Agricultural Organisation,26,FAO,26,26,15-Dec-15,923,UN Peacebuilding Fund,ODA Grants,Youth Empower/Employ-W2,72010,Yemen,VIII.1. Emergency Response,LIVELIHOOD AND ECONOMIC RECOVERY: STRENGTHENING SOCIAL COHESION AND COMMUNITY RESILIENCE,16674.0,2016
UNPBF,Food and Agricultural Organisation,26,FAO,26,26,15-Dec-15,923,UN Peacebuilding Fund,ODA Grants,Youth Empower/Employ-W2,72010,Yemen,VIII.1. Emergency Response,LIVELIHOOD AND ECONOMIC RECOVERY: STRENGTHENING SOCIAL COHESION AND COMMUNITY RESILIENCE,0.0,2017
Ministry of Foreign Affairs (DGIS),International Committee of the Red Cross,10,ICRC,10,10,31-Dec-17,7,Netherlands,ODA Grants,Humanitaire bijdrage aan ICRC n.a.v. het ICRC Yemen appeal 2017,72010,Yemen,VIII.1. Emergency Response,HUMANITAIRE BIJDRAGE JEMEN ICRC 2017,1127270.0,2017
Ministry of Foreign Affairs,International Committee of the Red Cross,10,ICRC,10,10,31-Dec-17,68,Czech Republic,ODA Grants,Urgent health assistance to conflict-affected population,72010,Yemen,VIII.1. Emergency Response,URGENT HEALTH ASSISTANCE,213808.0,2017
Global Affairs Canada,International Committee of the Red Cross,10,ICRC - International Committee of the Red Cross,10,10,31-Dec-16,301,Canada,ODA Grants,The International Committee of the Red Cross' (ICRC) primary mission is to help protect the lives and dignity of people affected by conflict and other situations of violence. The ICRC provides assistance and prevents further suffering by promoting and strengthening international humanitarian law and universal humanitarian principles. With the support of GAC and other donors the ICRC's emergency operations aim to provide protection food assistance health services livelihood support and other essential services to populations affected by armed conflict and other situations of violence as well as to promote respect for international humanitarian law. This funding supports specific country emergency appeals for 18 countries. Project activities include: (1) protecting and assisting those who are vulnerable to abuse during hostilities by providing comprehensive hospital care and access to water and restoration of livelihoods; (2) providing Red Cross/Red Crescent National Societies with technical expertise in areas such as promotion of international humanitarian law restoring family links and health care provision in situations of armed conflict and violence; and (3) ensuring that international humanitarian law is respected in the treatment of civilians not taking part in hostilities as well as for detainees. / Le Comit?international de la Croix-Rouge (CICR) a pour mission premi?e de contribuer ?prot?er la vie et la dignit?des personnes touch?s par les conflits et autres situations de violence. Le CICR apporte un soutien aux personnes touch?s et aide ?pr?enir d'autres souffrances au moyen de la promotion et du renforcement du droit international humanitaire et des principes humanitaires universels. Avec le soutien d'AMC et d'autres donateurs les op?ations d'urgence du CICR visent ?offrir une fournir une protection de l'assistance alimentaire des services de sant?un soutien aux moyens de subsistance et d'autres services essentiels aux populations touch?s par des conflits arm? et d'autres situations de violence de m?e qu'?promouvoir le respect pour le droit international humanitaire. Le pr?ent financement soutient des appels d'urgence pr?is par pays pour 18 pays. Les activit? de ce projet comprennent : (1) prot?er et aider ceux qui sont vuln?ables ?la violence pendant les hostilit? en offrant une gamme compl?e de soins hospitaliers et l'acc? ?l'eau et ?la restauration des moyens de subsistance; 2) fournir aux Soci?? nationales de la Croix-Rouge et du Croissant-Rouge une expertise technique dans des domaines tels que la promotion du droit international humanitaire le r?ablissement des liens familiaux et la prestation de soins de sant?dans les situations de conflit arm?et de violence; (3) s'assurer que le droit international humanitaire soit respect?dans le traitement des civils qui ne prennent pas part aux hostilit? ainsi que pour les d?enus.,72010,Yemen,VIII.1. Emergency Response,EMERGENCY - COUNTRY-SPECIFIC FUNDING - ICRC APPEALS 2016 / FINANCEMENT URGENT VISANT DES PAYS EN PARTICULIER - APPELS DU CICR 2016,1585690.0,2016
Global Affairs Canada,International Committee of the Red Cross,10,ICRC - International Committee of the Red Cross,10,10,31-Dec-16,301,Canada,ODA Grants,The International Committee of the Red Cross' (ICRC) primary mission is to help protect the lives and dignity of people affected by conflict and other situations of violence. The ICRC provides assistance and prevents further suffering by promoting and strengthening international humanitarian law and universal humanitarian principles. With the support of GAC and other donors the ICRC's emergency operations aim to provide protection food assistance health services livelihood support and other essential services to populations affected by armed conflict and other situations of violence as well as to promote respect for international humanitarian law. This funding supports specific country emergency appeals for 18 countries. Project activities include: (1) protecting and assisting those who are vulnerable to abuse during hostilities by providing comprehensive hospital care and access to water and restoration of livelihoods; (2) providing Red Cross/Red Crescent National Societies with technical expertise in areas such as promotion of international humanitarian law restoring family links and health care provision in situations of armed conflict and violence; and (3) ensuring that international humanitarian law is respected in the treatment of civilians not taking part in hostilities as well as for detainees. / Le Comit?international de la Croix-Rouge (CICR) a pour mission premi?e de contribuer ?prot?er la vie et la dignit?des personnes touch?s par les conflits et autres situations de violence. Le CICR apporte un soutien aux personnes touch?s et aide ?pr?enir d'autres souffrances au moyen de la promotion et du renforcement du droit international humanitaire et des principes humanitaires universels. Avec le soutien d'AMC et d'autres donateurs les op?ations d'urgence du CICR visent ?offrir une fournir une protection de l'assistance alimentaire des services de sant?un soutien aux moyens de subsistance et d'autres services essentiels aux populations touch?s par des conflits arm? et d'autres situations de violence de m?e qu'?promouvoir le respect pour le droit international humanitaire. Le pr?ent financement soutient des appels d'urgence pr?is par pays pour 18 pays. Les activit? de ce projet comprennent : (1) prot?er et aider ceux qui sont vuln?ables ?la violence pendant les hostilit? en offrant une gamme compl?e de soins hospitaliers et l'acc? ?l'eau et ?la restauration des moyens de subsistance; 2) fournir aux Soci?? nationales de la Croix-Rouge et du Croissant-Rouge une expertise technique dans des domaines tels que la promotion du droit international humanitaire le r?ablissement des liens familiaux et la prestation de soins de sant?dans les situations de conflit arm?et de violence; (3) s'assurer que le droit international humanitaire soit respect?dans le traitement des civils qui ne prennent pas part aux hostilit? ainsi que pour les d?enus.,72050,Yemen,VIII.1. Emergency Response,EMERGENCY - COUNTRY-SPECIFIC FUNDING - ICRC APPEALS 2016 / FINANCEMENT URGENT VISANT DES PAYS EN PARTICULIER - APPELS DU CICR 2016,679584.0,2016
Global Affairs Canada,International Committee of the Red Cross,10,ICRC - International Committee of the Red Cross,10,10,31-Dec-18,301,Canada,ODA Grants,January 2018 - The International Committee of the Red Cross' (ICRC) primary mission is to help protect the lives and dignity of people affected by conflict and other situations of violence. The ICRC provides assistance and prevents further suffering by promoting and strengthening international humanitarian law and universal humanitarian principles.With the support of GAC and other donors the ICRC's emergency operations aim to provide protection food assistance health services livelihood support and other essential services to populations affected by armed conflict and other situations of violence as well as to promote respect for international humanitarian law. Project activities include: (1) protecting and assisting those who are vulnerable to abuse during hostilities by providing comprehensive hospital care and access to water and restoration of livelihoods; (2) providing food assistance and livelihoods support; (3) providing Red Cross/Red Crescent National Societies with technical expertise in areas such as promotion of international humanitarian law restoring family links and health care provision in situations of armed conflict and violence; and (4) ensuring that international humanitarian law is respected in the treatment of civilians not taking part in hostilities as well as for detainees./A venir.,72050,Yemen,VIII.1. Emergency Response,EMERGENCY COUNTRY-SPECIFIC FUNDING - ICRC APPEALS 2018/FINANCEMENT D'URGENCE VISANT DES PAYS EN PARTICULIER - APPELS DU CICR 2018,0.0,2017
Global Affairs Canada,International Committee of the Red Cross,10,ICRC - International Committee of the Red Cross,10,10,31-Dec-18,301,Canada,ODA Grants,January 2018 - The International Committee of the Red Cross' (ICRC) primary mission is to help protect the lives and dignity of people affected by conflict and other situations of violence. The ICRC provides assistance and prevents further suffering by promoting and strengthening international humanitarian law and universal humanitarian principles.With the support of GAC and other donors the ICRC's emergency operations aim to provide protection food assistance health services livelihood support and other essential services to populations affected by armed conflict and other situations of violence as well as to promote respect for international humanitarian law. Project activities include: (1) protecting and assisting those who are vulnerable to abuse during hostilities by providing comprehensive hospital care and access to water and restoration of livelihoods; (2) providing food assistance and livelihoods support; (3) providing Red Cross/Red Crescent National Societies with technical expertise in areas such as promotion of international humanitarian law restoring family links and health care provision in situations of armed conflict and violence; and (4) ensuring that international humanitarian law is respected in the treatment of civilians not taking part in hostilities as well as for detainees./A venir.,72010,Yemen,VIII.1. Emergency Response,EMERGENCY COUNTRY-SPECIFIC FUNDING - ICRC APPEALS 2018/FINANCEMENT D'URGENCE VISANT DES PAYS EN PARTICULIER - APPELS DU CICR 2018,0.0,2017
Ministry of Foreign Affairs and Trade,International Committee of the Red Cross,10,ICRC(International Committee of the Red Cross),10,10,31-Dec-17,742,Korea,ODA Grants,Support for ICRC`s humanitarian activities in Yemen_ICRC,72010,Yemen,VIII.1. Emergency Response,SUPPORT FOR ICRC`S HUMANITARIAN ACTIVITIES IN YEMEN_ICRC,500000.0,2017
Swedish International Development Authority,International Committee of the Red Cross,10,ICRC/INTERNATIONAL COMMITTEE OF THE RED CROSS/R?A KORSET,10,10,31-Dec-18,10,Sweden,ODA Grants,Sida support the ICRC to improve the health situation of vulnerable people providing protection to adults and children in conflict situations ensure access to water - and sanitation in vulnerable communities access to detainees around the world and to continue the dissemination of information and compliance with IHL.,72010,Yemen,VIII.1. Emergency Response,ICRC INTERNATIONAL COMMITTEE OF THE RED CROSS 2014-2017,1759100.0,2017
Directorate General for Co-operation and Development,International Committee of the Red Cross,10,INGO International Committee of the Red Cross ICRC - ICRC - PRT,10,10,#NULL!,2,Belgium,ODA Grants,Background : Suite au renversement du Pr?ident Hadi une coalition de pays Arabes men? par l'Arabie Saoudite a d?arr?le 26 mars 2015 une offensive militaire au Y?en (? Decisive storm ?) devant cibler les infrastructures militaires cl? et les endroits strat?iques militaires contr?l? par les Houthis et leurs alli?. Le 21 avril la coalition a annonc?la fin de cette op?ation et le d?ut d'une autre (? Restoring Hope ?). Les attaques a?iennes se sont ?endues ?20 des 22 gouvernorats affectant une grande majorit?de la population y??ite. La situation humanitaire qui ?ait d??catastrophique notamment ?cause de la grande pauvret?qui r?ne dans le pays s'est aggrav? suite aux op?ations de la coalition et du blocus naval de fait qui emp?he toujours l'acheminement des approvisionnements vitaux. Le Y?en d?endant essentiellement de l'importation est aujourd'hui ?cours de carburant (mise ?l'arr? de la plupart des h?pitaux sans oxyg?e sans ?ectricit?sans chambre froide) et d'eau (syst?e de distribution presqu'inexistant n?essit?de ? water trucking ? impossible sans carburant). Cet embargo a ?alement comme cons?uence de limiter tr? fortement la quantit?de mat?iel humanitaire arrivant dans le pays. Aujourd'hui le Y?en compte pr? de 25 millions d'habitants dont 84% n?essite une assistance humanitaire ! Le pays compte 15 millions de personnes d?lac?s 13 millions de personnes en ins?urit?alimentaire avec des taux de malnutrition infantile atteignant des niveaux alarmants et 20 millions de personnes n'ayant pas acc? ?l'eau potable. Le secteur de la sant?est tr? gravement touch?: plus de 15 millions de personnes n'ont pas acc? aux soins de sant?23% des structures de sant?ont ??d?ruites de s??es p?uries de m?icaments et de mat?iel chirurgical sont ?d?lorer dans les zones les plus touch?s par le conflit le CICR a ?alement remarqu?une recrudescence de maladies transmissibles (dengue malaria et diarrh?). La gestion des cadavres (pour le moment laiss??l'abandon dans les rues) pose aussi un d?i de taille. A cette situation catastrophique s'ajoutent l'ins?urit?croissante dans laquelle les travailleurs humanitaires doivent op?er (6 membres du Mouvement Croix-Rouge ont d??perdu la vie dans le cadre de leur fonction) et les d?is logistiques li? ?la fermeture de la majorit?des a?oports du pays et du blocus susmentionn? Enfin le pays conna?t des attaques r???s contre les populations civiles au m?ris du DIH. -Global objective: L'objectif g??al du CICR au Y?en est d'assister les groupes les plus vuln?ables se trouvant dans les zones affect?s ou susceptibles d'?re affect?s par de la violence afin d'am?iorer leur acc? ?des services de sant?de base et ?s'assurer que les infrastructures et syst?es vitaux (eau et ?ectricit? continuent de fonctionner. Lorsque les conditions le permettent le CICR travaillera ?une identification plus pr?ise des besoins des,72050,Yemen,VIII.1. Emergency Response,ICRC ACTIVITIES IN YEMEN,3882420.0,2015
Directorate General for Co-operation and Development,International Committee of the Red Cross,10,INGO International Committee of the Red Cross ICRC - ICRC - PRT,10,10,#NULL!,2,Belgium,ODA Grants,Le Y?en est embourb?dans un conflit arm?g??al,72010,Yemen,VIII.1. Emergency Response,ICRC ACTIVITIES IN SOMALIA SOUTH SUDAN YEMEN AND,563634.0,2017
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,15-Oct-22,918,EU Institutions,ODA Grants,ICRC Economic security and water/sanitation/habitat activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,6315510.0,2014
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,01-Jul-23,918,EU Institutions,ODA Grants,ICRC Economic security and water/sanitation/habitat activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,5413200.0,2015
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,01-Jul-25,918,EU Institutions,ODA Grants,ICRC WASH and Health activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,5307970.0,2016
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,01-Jul-24,918,EU Institutions,ODA Grants,ICRC WASH and Health activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,4849050.0,2016
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,01-Jul-24,918,EU Institutions,ODA Grants,ICRC WASH and Health activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,3997570.0,2016
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,#NULL!,918,EU Institutions,ODA Grants,ICRC WASH and Health activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,2795630.0,2017
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,#NULL!,918,EU Institutions,ODA Grants,ICRC WASH and Health activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,2254540.0,2017
Ministry of Foreign Affairs and Trade,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,#NULL!,820,New Zealand,ODA Grants,This activity supports the ICRC to provide humanitarian assistance to people in Yemen who are currently being affected by famine conditions.,72040,Yemen,VIII.1. Emergency Response,ICRC FAMINE RESPONSE - YEMEN,1776330.0,2017
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,15-Mar-21,918,EU Institutions,ODA Grants,ICRC economic security and water/sanitation/habitat activities in Yemen,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,1592150.0,2014
Ministry of Foreign Affairs and Trade,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,#NULL!,820,New Zealand,ODA Grants,This activity supports the ICRC's humanitarian action in Yemen and Syria two of the largest and most severe humanitarian crises designated by the UN Emergency Relief Coordinator as 'Level 3' (those where the gravity of the situation requires system-wide resource mobilisation based on criteria such as scale urgency complexity and national capacity to respond).,72050,Yemen,VIII.1. Emergency Response,ICRC CONTRIBUTION TO YEMEN,1421060.0,2017
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,15-Oct-22,918,EU Institutions,ODA Grants,ICRC Economic security and water/sanitation/habitat activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,1320020.0,2015
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,01-Jul-23,918,EU Institutions,ODA Grants,ICRC Economic security and water/sanitation/habitat activities in Yemen.,72040,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,1105830.0,2016
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,15-Oct-21,918,EU Institutions,ODA Grants,ICRC economic security and water/sanitation/habitat activities in Yemen,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,796073.0,2014
European Commission,International Committee of the Red Cross,10,International Committee of the Red Cross,10,10,01-Jul-23,918,EU Institutions,ODA Grants,ICRC Economic security and water/sanitation/habitat activities in Yemen.,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN AID AND FOOD ASSISTANCE,243282.0,2016
Foreign Office,International Committee of the Red Cross,10,International Committee of the Red Cross (ICRC),10,10,31-Dec-17,5,Germany,ODA Grants,Emergency measures regarding assistance protection prevention and cooperation in Yemen,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE - ASSISTANCE AND PROTECTION,6763610.0,2017
Foreign Office,International Committee of the Red Cross,10,International Committee of the Red Cross (ICRC),10,10,31-Dec-15,5,Germany,ODA Grants,Help protection prevention and cooperation activities in Yemen in 2015,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE HELP PROTECTION PREVENTION MEASURES,1663890.0,2015
Foreign Office,International Committee of the Red Cross,10,International Committee of the Red Cross (ICRC),10,10,31-Dec-16,5,Germany,ODA Grants,Measures regarding help protection prevention and cooperation in Yemen,72010,Yemen,VIII.1. Emergency Response,HUMANITARIAN ASSISTANCE - EMERGENCY ASSISTANCE IN YEMEN,1105830.0,2016
King Salman Humanitarian Aid and Relief Center,International Committee of the Red Cross,10,International Committee of the Red Cross?ICRC),10,10,#NULL!,566,Saudi Arabia,ODA Grants,The project aims to support wounded and other crisis-affected people whose injuries led to the loss one or more of their limbs by supporting and establishing rehabilitation centers for them in various areas of Yemen. In cooperation with International Committee of the Red Cross (ICRC.),73010,Yemen,VIII.2. Reconstruction Relief & Rehabilitation,JOINT EXECUTIVE PROGRAM FOR EMERGENCY CARE AND OTHER HEALTH ACTIVITIES IN YEMEN 2018,10000000.0,2016
